Risks,Returns
0.1972529116488252,0.02196164447978797
0.19725290828501799,0.02196164411573809
0.197252903755991,0.02196164363670482
0.19725289751282546,0.02196164299021183
0.19725288496657492,0.021961641581944767
0.1972528602023589,0.021961638661048777
0.19725282491898086,0.021961634565887986
0.19725277306552763,0.021961628663475164
0.1972526916518181,0.021961619630116554
0.19725254273371073,0.02196160368384244
0.19725217718497318,0.021961566208160255
0.19725088853303668,0.02196143901193053
0.1972528633579153,0.021961641181529535
0.19725043340033013,0.02196141374114123
0.18831789323582096,0.021122594628911178
0.17179307803999863,0.01954558262922507
0.1574352453609158,0.01814006718474341
0.1450204662295753,0.016887341717114198
0.13434398634507827,0.015770872736063545
0.12521626261434612,0.014775819830018723
0.11746146171508103,0.0138889627352017
0.1109158778322747,0.013098544697171388
0.10542730464023456,0.012394079383834968
0.10085492791527058,0.011766223885595783
0.09706947733155928,0.011206613871504924
0.0939537174300099,0.010707802438251729
0.09140410288617025,0.010263520639053619
0.08932638702985148,0.009867358492608372
0.08763556677567234,0.009513034984276057
0.08553903441226834,0.00902564689320384
0.08317318785974234,0.008430741026217235
0.08123982673719195,0.007899242082116566
0.0796705940831628,0.007425519975217424
0.07840172107525889,0.007003311862487932
0.0773789898144615,0.006627016506931696
0.07655686689280114,0.00629164059652477
0.07589748147064332,0.005992732424734563
0.07536959544477745,0.00572632348883114
0.07494761065064735,0.005488864935302012
0.07461065731120278,0.00527716967144388
0.07434212525811248,0.005088735614961264
0.07412799622717536,0.004920631809173412
0.07395558255450799,0.004768981321803856
0.07373477821085074,0.004550036088289465
0.07351558965035511,0.004308956431611222
0.0733409042554446,0.004093952891180234
0.07320179061569712,0.0039022207507973046
0.07309129781128143,0.0037317430111069054
0.07300317417308613,0.003579315212812142
0.07293256689215756,0.0034424045797740374
0.07287591976138484,0.003319302418082643
0.0728307304379753,0.003209197188094128
0.07279490902377314,0.0031113206963866995
0.07276641218648197,0.0030240020354603716
0.07274376373493038,0.002946164684140897
0.07272576732794547,0.0028767883815638837
0.07271144959501001,0.0028148670788630883
0.07270010110240308,0.002759806051615469
0.07269108048733873,0.0027107089434497
0.07268391297666973,0.0026669439270821885
0.07267821846025535,0.0026279344882623535
0.07267369453789396,0.0025931654184927753
0.07267010071378659,0.002562176395493886
0.07266723830932353,0.002534478822190719
0.07266497456094302,0.0025099004537734925
0.07266317469796535,0.0024879768543558563
0.07266174455809053,0.0024684325854609024
0.07266060833848195,0.0024510112898911626
0.07265970568531643,0.0024354830577847874
0.07265898860617342,0.0024216424401744914
0.07265841896751976,0.0024093063220496868
0.07265796646349512,0.002398311335667308
0.07265760701302303,0.002388511780779823
0.07265732148366733,0.002379777754415182
0.07265709467553591,0.0023719934498407855
0.07265691451334438,0.0023650556296307976
0.07265677140438567,0.0023588722646422523
0.07265665772836694,0.002353361321568429
0.07265656743200688,0.0023484496812330785
0.07265649570689205,0.0023440721728984057
0.07265643873351427,0.002340170712138244
0.07265639347789371,0.002336693529966407
0.07265635752622837,0.0023335941381648385
0.07265632897349919,0.0023308322431167387
0.07265630629281566,0.002328370662669408
0.07265628827668082,0.0023261767546937867
0.07265627396584005,0.00232422141973747
0.07265626259827423,0.002322478718489409
0.07265625356866216,0.002320925530058657
0.07265624639616691,0.0023195412466526294
0.07265624069883972,0.0023183075009147397
0.07265623617328466,0.0023172079225899783
0.07265623257850405,0.0023162279214877404
0.07265622972306555,0.002315354493970842
0.07265622745490849,0.00231457605045576
0.07265622565324627,0.0023138822616579026
0.0726562242221345,0.002313263921550881
0.07265622308536165,0.002312712825224847
0.07265622218239069,0.002312221660024816
0.07265622146513523,0.0023117839085253673
